AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecGain,4096,30,311827.60,815.43,45198.10,262.74, 18.13, 40.16,8199.10, 11.76,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,256,30,19751.87,433.53,2883.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,512,30,39323.40,589.96,5736.27,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,1024,30,78467.88,752.26,11441.90,241.47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,2048,30,156176.50,677.26,22668.70,217.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,4096,30,311826.80,815.83,45197.37,261.47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,256,30,19751.27,431.29,2883.20,139.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,512,30,39322.66,588.09,5736.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,1024,30,78464.94,747.42,11441.23,240.61,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,2048,30,156176.30,676.98,22668.77,217.35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,4096,30,311825.50,812.36,45197.44,261.59,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecGain,256,30,19751.60,432.54,2883.13,138.94,270.80, 29.18,5046.50,196.44,13583.27, 49.64
3,0,0,af000000,DFlash,VecGain,512,30,39323.60,590.47,5736.33,189.51,534.60, 39.77,9963.43,268.80,27164.50, 67.56
3,0,0,af000000,DFlash,VecGain,1024,30,78390.14,706.97,11416.00,224.87,1057.33, 47.98,19761.73,321.76,54318.26, 80.96
3,0,0,af000000,DFlash,VecGain,2048,30,156212.50,704.28,22679.93,224.74,2081.33, 47.98,39216.27,319.35,108590.20, 80.92
3,0,0,af000000,DFlash,VecGain,4096,30,311865.20,839.88,45209.33,268.00,4129.53, 56.93,78130.90,381.72,217134.60, 96.20
0,0,0,af000000,DFlash,VecRead,256,30,18156.13,307.67,1587.63,100.34,  3.83, 15.26,  3.87,  4.67,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,512,30,36249.93,588.78,3179.33,189.51, 12.33, 28.89,  6.47,  8.84,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,1024,30,72301.73,740.92,6317.57,236.72, 22.93, 36.57,  9.63, 11.11,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,2048,30,143884.70,672.40,12431.10,216.25, 17.93, 33.27,  8.23, 10.06,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,4096,30,287248.70,699.38,24720.43,222.87, 18.07, 34.13,  8.30, 10.61,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,256,30,18214.53,432.29,1606.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,512,30,36192.34,520.00,3160.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,1024,30,72254.12,717.90,6303.67,230.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,2048,30,143895.10,691.46,12434.40,222.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,4096,30,287248.90,700.05,24720.43,222.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,256,30,18214.86,433.53,1606.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,512,30,36192.79,521.40,3160.70,167.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,1024,30,72253.99,717.66,6303.73,230.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,2048,30,143895.00,691.19,12434.40,222.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,4096,30,287249.90,702.04,24720.36,222.73,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecRead,256,30,18214.86,433.53,1606.13,138.94,270.80, 29.18,5301.87,197.81,13327.27, 49.64
3,0,0,af000000,DFlash,VecRead,512,30,36192.72,521.20,3160.77,167.30,530.70, 35.10,10448.30,237.90,26645.87, 59.60
3,0,0,af000000,DFlash,VecRead,1024,30,72295.66,736.96,6316.30,235.88,1060.80, 49.94,20807.87,336.04,53300.13, 84.45
3,0,0,af000000,DFlash,VecRead,2048,30,143894.50,690.13,12434.40,222.21,2078.93, 46.62,41251.50,314.27,106538.70, 79.29
3,0,0,af000000,DFlash,VecRead,4096,30,287287.40,708.88,24732.33,226.14,4129.53, 48.25,82226.24,323.30,213038.60, 81.33
0,0,0,af000000,DFlash,VecWrite,256,30,5306.00,  0.00,1822.00,  0.00,  1.00,  0.00,258.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,512,30,10426.00,  0.00,3614.00,  0.00,  1.00,  0.00,514.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,1024,30,20781.93,433.78,7235.13,138.94,  6.67, 21.20,1027.67,  6.24,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,2048,30,41377.53,590.30,14440.27,189.34, 12.33, 28.89,2053.33,  8.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,4096,30,82561.20,742.18,28846.50,237.46, 23.33, 36.59,4104.57, 10.60,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,256,30,5306.00,  0.00,1822.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,512,30,10483.80,311.26,3632.57, 99.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,1024,30,20782.27,435.03,7235.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,2048,30,41377.20,589.45,14440.27,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,4096,30,82577.27,762.94,28852.53,245.48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,256,30,5306.00,  0.00,1822.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,512,30,10483.80,311.26,3632.57, 99.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,1024,30,20781.33,431.54,7235.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,2048,30,41377.40,589.96,14440.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,4096,30,82575.00,758.60,28851.90,244.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWrite,256,30,5306.00,  0.00,1822.00,  0.00,263.00,  0.00,3467.00,  0.00,  2.00,  0.00
3,0,0,af000000,DFlash,VecWrite,512,30,10483.80,311.26,3632.57, 99.98,522.90, 21.00,6821.43,142.35,  8.63, 35.72
3,0,0,af000000,DFlash,VecWrite,1024,30,20782.27,435.03,7235.13,138.94,1038.80, 29.18,13504.40,199.80, 15.27, 49.64
3,0,0,af000000,DFlash,VecWrite,2048,30,41377.20,589.45,14440.27,189.34,2070.60, 39.77,26868.73,269.57, 28.53, 67.65
3,0,0,af000000,DFlash,VecWrite,4096,30,82559.73,739.36,28846.57,237.57,4133.83, 50.22,53594.80,337.47, 53.83, 84.70
0,0,0,af000000,DFlash,VecPower,256,30,33634.00,519.00,3157.70,167.10,13577.57, 25.70,772.57,  7.70,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,512,30,67145.53,733.29,6304.03,235.71,27156.83, 35.95,1543.83, 10.57,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,1024,30,133751.60,736.41,12461.17,236.25,54295.26, 36.55,3080.53, 10.67,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,2048,30,266805.90,704.78,24727.93,224.74,108564.20, 34.93,6151.60, 10.27,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,4096,30,533047.90,1049.47,49304.60,335.90,217108.20, 51.80,12295.60, 15.29,  0.00,  0.00
