AURIX TC37x A-Step, 6MB FLASH, 3 cores, HSM: yes, EMEM: yes, CPU speed: 300.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6P    32      16      64      240     7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecLUT,2048,30,219785.30,783.30,43180.03,232.86,73859.14,109.64,75601.23, 20.76,  0.00,  0.00
0,0,0,af000000,DFlash,VecLUT,4096,30,442963.80,878.73,86171.88,262.30,149629.70,126.88,153422.40, 21.63,  0.00,  0.00
1,0,0,af000000,DFlash,VecLUT,256,30,24108.67,455.38,5445.33,135.95,  0.00,  0.00,  0.00,  0.00,1286.80, 17.96
1,0,0,af000000,DFlash,VecLUT,512,30,52072.00,543.79,10839.50,163.50,  0.00,  0.00,  0.00,  0.00,2569.43, 22.30
1,0,0,af000000,DFlash,VecLUT,1024,30,108123.50,770.11,21664.23,230.63,  0.00,  0.00,  0.00,  0.00,5139.17, 31.12
1,0,0,af000000,DFlash,VecLUT,2048,30,219779.50,777.05,43178.03,231.26,  0.00,  0.00,  0.00,  0.00,10260.77, 31.33
1,0,0,af000000,DFlash,VecLUT,4096,30,442957.80,870.74,86170.47,260.91,  0.00,  0.00,  0.00,  0.00,20498.50, 35.00
2,0,0,af000000,DFlash,VecLUT,256,30,24108.43,454.51,5445.33,135.95,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,512,30,52072.97,546.58,10839.57,163.70,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,1024,30,108121.70,766.95,21664.24,230.63,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,2048,30,219683.90,718.74,43150.37,215.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,4096,30,442954.80,879.60,86169.20,261.95,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecLUT,256,30,24108.44,454.50,5445.33,135.95,783.53, 28.19,  0.00,  0.00,12951.50, 84.39
3,0,0,af000000,DFlash,VecLUT,512,30,52072.90,545.93,10839.50,163.50,1555.27, 33.80,  0.00,  0.00,30114.87,102.65
3,0,0,af000000,DFlash,VecLUT,1024,30,108122.30,768.25,21664.17,230.51,3106.20, 47.49,  0.00,  0.00,64462.79,141.72
3,0,0,af000000,DFlash,VecLUT,2048,30,219722.40,744.29,43161.14,220.66,6177.37, 46.18,  0.00,  0.00,133072.50,144.70
3,0,0,af000000,DFlash,VecLUT,4096,30,442962.30,874.16,86171.88,262.16,12321.67, 54.16,  0.00,  0.00,270288.40,163.43
0,0,0,af000000,DFlash,VecGain,256,30,21810.37,456.92,2882.40,136.20, 18.50, 65.21,1287.40, 12.72,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,512,30,43375.30,548.91,5716.57,163.70, 27.23, 78.26,2569.10, 14.88,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,1024,30,86567.68,735.42,11403.07,218.13, 54.03,105.90,5134.17, 19.84,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,2048,30,172703.80,791.71,22701.03,234.62, 71.37,114.18,10257.03, 21.22,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,4096,30,344665.60,758.86,45208.20,222.98, 62.10,110.76,20495.13, 20.15,  0.00,  0.00
1,0,0,af000000,DFlash,VecGain,256,30,21810.43,455.70,2882.33,135.95,  0.00,  0.00,  0.00,  0.00,773.80, 17.96
1,0,0,af000000,DFlash,VecGain,512,30,43375.70,550.77,5716.50,163.50,  0.00,  0.00,  0.00,  0.00,1544.33, 22.00
1,0,0,af000000,DFlash,VecGain,1024,30,86566.67,732.60,11403.07,218.13,  0.00,  0.00,  0.00,  0.00,3087.63, 29.27
1,0,0,af000000,DFlash,VecGain,2048,30,172697.30,783.75,22699.04,232.44,  0.00,  0.00,  0.00,  0.00,6163.90, 30.98
1,0,0,af000000,DFlash,VecGain,4096,30,344665.40,757.93,45207.53,222.19,  0.00,  0.00,  0.00,  0.00,12305.37, 29.76
2,0,0,af000000,DFlash,VecGain,256,30,21810.70,459.64,2882.40,136.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,512,30,43375.44,550.75,5716.50,163.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,1024,30,86567.20,734.65,11403.07,218.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,2048,30,172693.70,780.68,22697.70,231.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecGain,4096,30,344662.40,754.16,45206.87,221.46,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecGain,256,30,21810.20,459.64,2882.33,135.95,271.47, 27.94,  0.00,  0.00,18194.57, 85.11
3,0,0,af000000,DFlash,VecGain,512,30,43375.23,549.28,5716.57,163.70,531.20, 33.60,  0.00,  0.00,36381.83,101.63
3,0,0,af000000,DFlash,VecGain,1024,30,86567.09,734.70,11403.07,218.13,1054.40, 44.80,  0.00,  0.00,72767.60,135.88
3,0,0,af000000,DFlash,VecGain,2048,30,172703.70,792.74,22701.03,234.62,2085.70, 48.43,  0.00,  0.00,145495.00,147.40
3,0,0,af000000,DFlash,VecGain,4096,30,344669.80,749.54,45209.53,221.95,4129.77, 45.92,  0.00,  0.00,290891.60,140.34
0,0,0,af000000,DFlash,VecRead,256,30,19429.83,328.34,1587.17, 97.83,  9.90, 47.37,775.70,  9.15,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,512,30,38690.60,454.18,3141.33,135.95, 18.57, 65.46,1545.53, 12.82,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,1024,30,77271.70,677.66,6267.83,203.11, 44.90, 98.08,3086.70, 19.46,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,2048,30,154247.30,778.73,12462.70,233.12, 71.37,113.99,6163.43, 21.71,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,4096,30,307781.90,750.15,24730.53,222.19, 62.37,110.85,12305.37, 20.38,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,256,30,19430.20,326.97,1587.17, 97.83,  0.00,  0.00,  0.00,  0.00,260.43, 13.10
